ID	LATITUDE	LONGITUDE
1000793	54.9204728	73.4893646
1000717	55.1101862	73.2417844
1000783	54.6056151	73.646068
1000715	53.9106943	74.9406107
1000720	55.0080108	74.1665435
1000775	55.4067893	73.2943921
1000722	55.0080108	74.1665435
1000671	54.6056151	73.646068
1000757	54.6049834	73.1470803
1000768	55.5531141	71.3868703
1000788	55.0849793	73.2121306
1000711	53.9106943	74.9406107
1000794	54.9386667	73.0491248
1000701	53.9974071	72.4927172
1000798	54.9662032	73.4231669
1000756	54.6049834	73.1470803
1000740	54.9386667	73.0491248
1000796	55.0679336	73.2588826
1000714	54.8864361	71.2930746
1000755	54.2207002	72.9768558
1000753	54.9281842	71.9325579
1000747	54.2750613	71.6896771
1000752	54.9281842	71.9325579
1000780	55.0010888	73.4840146
1000781	55.0419243	73.4875837
1000778	55.0010888	73.4840146
1000791	55.0849793	73.2121306
1000716	53.9106943	74.9406107
1000710	54.5865163	73.6633496
1000795	54.9204728	73.4893646
1000769	55.5531141	71.3868703
1000754	54.4488832	72.2815178
1000776	55.4067893	73.2943921
1000782	55.0419243	73.4875837
1000787	55.0726534	74.8222144
1000799	54.6056151	73.646068
1000792	54.9386667	73.0491248
1000712	54.3705117	74.1092545
526096	50.4587557	41.0229305
526106	51.2772082	39.2135887
526758	51.2752566	39.202547
526025	51.6685396	39.2881462
526038	50.3636255	41.021909
526043	51.6678332	38.91286
526068	50.850876	39.1038827
526039	51.1664028	41.2196677
526019	51.6911162	39.1657543
526031	51.6180374	39.2630518
526005	51.6776275	39.1345559
526048	51.0831132	41.7726938
526757	51.2772082	39.2135887
526059	51.2752566	39.202547
526035	51.2752566	39.202547
526060	51.2752566	39.202547
526108	51.7285244	39.1716079
526046	51.1805625	42.2583193
526800	51.2667817	39.2184608
526799	51.6255529	39.2769264
526095	51.1148882	40.6942272
526098	51.2336764	42.1873415
526045	51.1805625	42.2583193
526018	51.6856222	39.1581846
526776	51.6678332	38.91286
526024	51.6685396	39.2881462
526103	51.2772082	39.2135887
526803	50.8515663	40.6192088
526014	51.6857213	39.1581921
526768	51.0686224	39.9880656
526083	50.8886879	40.5099526
526070	50.701513	39.4511937
526084	50.8886879	40.5099526
526104	51.2772082	39.2135887
526097	51.1013521	41.2361542
526065	51.0227172	39.4286807
526051	49.6840173	39.8576955
526009	51.6730033	39.1049983
526762	51.0099615	39.4714875
526086	50.8179153	40.6341478
526064	51.0235388	39.5034668
526089	50.420672	40.9732633
526007	51.6476577	39.163934
526073	49.7731713	39.8104618
526042	51.6255529	39.2769264
526063	51.0235388	39.5034668
526020	51.6911162	39.1657543
526777	51.6678332	38.91286
526790	51.5024674	39.304794
526054	51.5867674	41.7966811
526770	50.1737286	39.6432262
526017	51.6857213	39.1581921
526760	51.0099615	39.4714875
527809	50.1957434	38.1695522
526050	50.4732893	41.3873272
526772	51.6255529	39.2769264
526006	51.6476577	39.163934
526034	51.5895479	39.2561923
526036	51.0099615	39.4714875
526061	51.1373257	39.3910975
526088	50.6210042	40.7101599
526082	51.0519393	39.961996
526016	51.6858259	39.1483427
526037	51.0686224	39.9880656
526041	50.850876	39.1038827
526093	51.1064027	40.2766176
526066	50.9988677	39.1593759
526107	51.5024674	39.304794
526092	51.1157469	40.0414966
526015	51.6858259	39.1483427
526076	50.2422598	40.0978226
526047	51.3523543	42.1382174
526067	50.850876	39.1038827
526080	50.3458521	41.1485863
526074	50.0835986	39.7780391
526075	50.1331929	39.9615423
526028	51.7480216	39.3602367
526778	50.0752626	40.0132104
526085	50.8545042	40.609797
526798	51.5895479	39.2561923
526049	51.0861397	41.6148531
526786	51.3578409	39.2920795
526761	51.0099615	39.4714875
526101	49.6840173	39.8576955
526002	51.6899968	38.9873407
526805	51.2772082	39.2135887
526040	50.1737286	39.6432262
526029	51.7480216	39.3602367
526032	51.6180374	39.2630518
526077	50.1292585	40.4766365
526091	51.1898463	40.1005473
526081	51.0519393	39.961996
526053	51.4524659	41.9414098
526033	51.5895479	39.2561923
526090	51.1898463	40.1005473
526806	51.2772082	39.2135887
526755	51.5895479	39.2561923
526021	51.7245709	39.1594341
526044	51.6678332	38.91286
526062	51.1373257	39.3910975
526004	51.6776275	39.1345559
526756	51.5895479	39.2561923
526003	51.6899968	38.9873407
526094	51.1064027	40.2766176
526052	51.34711	42.0882586
526802	50.8515663	40.6192088
526001	51.624633	39.2252441
526069	50.6981737	39.4344646
524776	52.6795551	39.6287583
524699	52.7318001	39.407979
524718	52.7928438	38.8092319
524713	52.539012	40.0705138
528860	52.7738053	41.3217847
330902	50.9852485	42.3998833
524703	52.4852997	39.4245195
531962	54.0390273	39.7787027
524707	52.6416491	39.7157429
524781	52.1567985	38.3003658
524696	52.6416491	39.7157429
524689	52.5577272	39.4998792
524687	52.5729655	39.6973804
